Renault Magnum,$ 35 500,https://im.mashina.kg/tachka/images//2/0/d/20da9276cd6ff60c82470f2822e3dc26_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева, 700 000 км"
Volvo FH,$ 50 000,https://im.mashina.kg/tachka/images//2/7/c/27cb563c348c088b671541884083408d_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 21 500,https://im.mashina.kg/tachka/images//a/0/8/a080da64137c59b1b1b075e375f6b164_240x180.jpg,"2003 г., 12.1 л., автомат,дизель,руль слева"
Scania R,$ 48 000,https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg,"2015 г., 12.8 л., автомат,дизель,руль слева, 850 000 км"
Scania 4-Series,$ 16 500,https://im.mashina.kg/tachka/images//d/2/2/d22e05efe3f93166098679bf52af45be_240x180.jpg,"2002 г., 12 л., механика,дизель,руль слева, 1 000 000 км"
Renault Premium,$ 44 000,https://im.mashina.kg/tachka/images//9/b/b/9bbe2129b36f4e61c496a29899b1b522_240x180.jpg,"2017 г., 13 л., робот,дизель,руль слева, 680 000 км"
Renault Magnum,$ 28 000,https://im.mashina.kg/tachka/images//5/4/5/545c55ba22a6f2575a010c1bf3d61700_240x180.jpg,"2007 г., 13 л., автомат,дизель,руль слева, 980 000 км"
DAF XF106 series,$ 37 000,https://im.mashina.kg/tachka/images//8/7/c/87c1c6daf16f6a120d0f944b5a68680f_240x180.jpg,"2015 г., 12 л., автомат,дизель,руль слева, 800 000 км"
Howo ZZ4257V3247N1H,$ 28 500,https://im.mashina.kg/tachka/images//1/e/a/1eaa5ffc0aac2de156e4a1ffdf41ad40_240x180.jpg,"2013 г., 10 л., механика,дизель,руль слева"
Mercedes-Benz 6x2,$ 16 000,https://im.mashina.kg/tachka/images//4/f/c/4fcabdf698694e292b81e0652de52dbe_240x180.jpg,"1997 г., 12 л., робот,дизель,руль слева"
Scania R,$ 21 500,https://im.mashina.kg/tachka/images//8/2/c/82c356022492386f6b70438453219c16_240x180.jpg,"1998 г., 4.6 л., автомат,дизель,руль слева, 1 000 000 км"
Scania R,$ 31 500,https://im.mashina.kg/tachka/images//a/6/1/a614f3d6916ea07c71738214530fddeb_240x180.jpg,"2013 г., 12 л., автомат,дизель,руль слева"
Volvo FH,$ 21 000,https://im.mashina.kg/tachka/images//b/9/5/b95fb187ed633bdb934b4eb9891d31b3_240x180.jpg,"1998 г., 1.2 л., механика,дизель,руль слева"
DAF 95 series,$ 23 000,https://im.mashina.kg/tachka/images//9/1/f/91f1756b8af9ef7ad76460ec5daeafe4_240x180.jpg,"2002 г., 11.5 л., автомат,дизель,руль слева"
DAF XF105 series,$ 29 000,https://im.mashina.kg/tachka/images//b/9/7/b97b433bdfa077d44527fc6c728dd853_240x180.jpg,"2010 г., 13 л., автомат,дизель,руль слева"
Howo ZZ4257S3241,$ 31 000,https://im.mashina.kg/tachka/images//2/d/4/2d4b8e1af5433a24cca2ba1b7ccb6515_240x180.jpg,"2017 г., 12 л., механика,дизель,руль слева"
DAF XF105 series,$ 30 000,https://im.mashina.kg/tachka/images//0/c/6/0c6e38db19b0f4990bd3a81dcb665468_240x180.jpg,"2011 г., 12 л., автомат,дизель,руль слева"
Volvo FH,$ 32 000,,"2012 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 28 000,https://im.mashina.kg/tachka/images//9/8/4/984ffc9e83866c20033d4711d7c44eb8_240x180.jpg,"1999 г., 12 л., механика,дизель,руль слева"
Howo ZZ4327S3247C,$ 30 000,https://im.mashina.kg/tachka/images//8/9/1/891bedd1876fc4e9149162f2eda6668e_240x180.jpg,"2017 г., 12 л., механика,дизель,руль слева, 180 000 км"
DAF XF105 series,$ 36 000,https://im.mashina.kg/tachka/images//f/1/0/f10936132c0771029675b7adb2c73cbf_240x180.jpg,"2010 г., 12 л., автомат,дизель,руль слева, 880 000 км"
Renault Magnum,$ 43 000,https://im.mashina.kg/tachka/images//7/9/c/79cba4a88e5d88cf1d552ba3ea0adb95_240x180.jpg,"2012 г., 12.8 л., автомат,дизель,руль слева, 840 000 км"
Mercedes-Benz 4x2,$ 33 000,https://im.mashina.kg/tachka/images//c/4/8/c481d53e200b013bea7f02313bff84fd_240x180.jpg,"2003 г., 12 л., автомат,дизель,руль слева"
MAN TGA,$ 14 000,https://im.mashina.kg/tachka/images//f/2/d/f2d3b6b436adf241cff608d725c4c28f_240x180.jpg,"2004 г., 12 л., механика,дизель,руль слева, 700 000 км"
Scania 4-Series,$ 22 000,https://im.mashina.kg/tachka/images//7/b/1/7b144b1ddcbe4ac35da40ccae4e42c89_240x180.jpg,"2000 г., 5.3 л., механика,дизель,руль слева"
Volvo FH,$ 50 000,https://im.mashina.kg/tachka/images//9/d/6/9d6f92ba1c19dcef82dab2cf4aadb047_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева"
DAF XF105 series,$ 32 500,https://im.mashina.kg/tachka/images//7/9/9/79935124ed2b4595abd3793d63505219_240x180.jpg,"2009 г., 12 л., автомат,дизель,руль слева, 900 000 км"
IVECO Stralis,$ 43 000,https://im.mashina.kg/tachka/images//9/9/a/99a0c01262735bc55f74e062f73c89bb_240x180.jpg,"2016 г., 11 л., автомат,дизель,руль слева, 448 000 км"
Renault Magnum,$ 14 000,https://im.mashina.kg/tachka/images//7/a/7/7a739e8fd415596db785548e57aba5f5_240x180.jpg,"2003 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 45 500,https://im.mashina.kg/tachka/images//f/9/c/f9c3dfc50e088cc3dcc6ff3fc8203b9e_240x180.jpg,"2011 г., 12.8 л., автомат,дизель,руль слева, 250 000 км"
Renault Magnum,$ 25 000,https://im.mashina.kg/tachka/images//5/a/e/5ae28daf8bd6871109e63baa8228ca35_240x180.jpg,"2013 г., 4.8 л., автомат,дизель,руль слева, 750 000 км"
DAF XF105 series,$ 49 000,https://im.mashina.kg/tachka/images//a/d/5/ad54af76d2b96a2d839e396b62c6c249_240x180.jpg,"2013 г., 5.1 л., механика,дизель,руль слева, 999 999 км"
Volvo FH,$ 60 000,https://im.mashina.kg/tachka/images//a/8/1/a81af2964a2f2fe08d8b290d48153adb_240x180.jpg,"2016 г., 5 л., робот,дизель,руль слева, 800 000 км"
DAF XF95 series,$ 18 000,https://im.mashina.kg/tachka/images//d/d/3/dd3fbf832e28cf289b12eca8c1a10aec_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 40 000,https://im.mashina.kg/tachka/images//e/7/4/e7498cfa433ba72a0af0082b964abab1_240x180.jpg,"2012 г., 6 л., механика,дизель,руль слева, 999 999 км"
DAF XF105 series,$ 32 500,https://im.mashina.kg/tachka/images//8/5/b/85bd9366151d30eefe2a958b3a5d02f6_240x180.jpg,"2013 г., 12.9 л., механика,дизель,руль слева, 500 000 км"
Volvo FH,$ 80 000,https://im.mashina.kg/tachka/images//c/0/3/c03803d1dc9c767dbe168d2d8a81c916_240x180.jpg,"2013 г., 13 л., автомат,дизель,руль слева, 1 000 000 км"
MAN TGA,$ 25 000,https://im.mashina.kg/tachka/images//1/9/1/1915c85f2cfc706f742babbfb0360d54_240x180.jpg,"2007 г., 10.5 л., автомат,дизель,руль слева"
Volvo FH,$ 55 000,https://im.mashina.kg/tachka/images//6/a/a/6aa001e8aef6f43142637934afb3f137_240x180.jpg,"2013 г., 12 л., автомат,дизель,руль слева, 960 000 км"
Scania R,$ 40 000,https://im.mashina.kg/tachka/images//8/5/c/85c5784662e214b11115b1e4090c20ef_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 14 000,https://im.mashina.kg/tachka/images//b/1/f/b1f370d3ed0f618d04f265e039efe490_240x180.jpg,"1994 г., 12 л., механика,дизель,руль слева, 950 623 км"
Shacman F2000/F3000,$ 14 000,https://im.mashina.kg/tachka/images//b/c/b/bcbb549a5a4303ac52a535e727292032_240x180.jpg,"2007 г., 12 л., механика,дизель,руль слева, 777 777 км"
Mercedes-Benz 4x2,$ 22 500,https://im.mashina.kg/tachka/images//4/3/3/433890622d0b383b6d99ac76934fbf10_240x180.jpg,"2001 г., 12.5 л., робот,дизель,руль слева, 595 320 км"
DAF 95 series,$ 20 000,https://im.mashina.kg/tachka/images//e/e/2/ee2080151e624829e0ac1ed73d5a10e5_240x180.jpg,"2005 г., 12 л., автомат,дизель,руль слева"
DAF 95 series,$ 13 200,https://im.mashina.kg/tachka/images//8/8/c/88ca7b3a2edfa1e57cc8b8720d4f393c_240x180.jpg,"2002 г., 1 л., механика,дизель,руль слева"
Isuzu EXZ51 6X4,$ 90 000,https://im.mashina.kg/tachka/images//c/e/7/ce74d04b85036ac406f8ff72d5a4aa99_240x180.jpg,"2017 г., 11 л., механика,бензин,руль слева"
Renault Premium,$ 26 000,https://im.mashina.kg/tachka/images//7/5/8/758ddfcc474a1ae241c61b2d05841d98_240x180.jpg,"2012 г., 12 л., автомат,дизель,руль слева"
Freightliner Columbia,$ 13 000,https://im.mashina.kg/tachka/images//4/a/e/4ae48171b378c83aac1c6b6970427b1c_240x180.jpg,"2005 г., 14 л., механика,дизель,руль слева"
Volvo FH,$ 43 000,https://im.mashina.kg/tachka/images//7/b/8/7b8d63dc865a652a71a866c51b7e1953_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 37 000,https://im.mashina.kg/tachka/images//2/1/a/21a32d831bb527118b2242a715e55c0b_240x180.jpg,"2010 г., 13 л., механика,дизель,руль слева"
Renault Magnum,$ 25 000,https://im.mashina.kg/tachka/images//1/d/a/1da438a1debd3179e97121f40bec2d3e_240x180.jpg,"2010 г., 12 л., автомат,дизель,руль слева, 747 000 км"
Shacman F2000/F3000,$ 13 000,https://im.mashina.kg/tachka/images//0/8/3/08354e50860d045a2932e8a8d940dda2_240x180.jpg,"2011 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 70 000,https://im.mashina.kg/tachka/images//b/d/f/bdf5549306a3b901e79d1f084af86ae9_240x180.jpg,"2012 г., 13 л., механика,дизель,руль слева, 950 000 км"
DAF XF105 series,$ 42 000,https://im.mashina.kg/tachka/images//c/2/b/c2b48f4f84c435431cb207860bf82162_240x180.jpg,"2013 г., 12 л., автомат,дизель,руль слева, 899 000 км"
DAF XF105 series,$ 27 500,https://im.mashina.kg/tachka/images//7/b/5/7b5d4063f5b94092b84280d6e4a8e70a_240x180.jpg,"2011 г., 1 л., автомат,дизель,руль слева, 100 000 км"
DAF 95 series,$ 18 000,https://im.mashina.kg/tachka/images//7/a/5/7a51fb1ef00865824e8d46707edb81b5_240x180.jpg,"2006 г., 10 л., автомат,бензин,руль слева"
Shacman F2000/F3000,$ 18 500,https://im.mashina.kg/tachka/images//7/8/6/786e2804a92ef53d4f27a6bb1c86c94b_240x180.jpg,"2012 г., 12 л., механика,дизель,руль слева, 600 000 км"
Freightliner Century Class S/T,$ 13 000,https://im.mashina.kg/tachka/images//7/0/6/706eb58a65e9eedcd7974d2e42e78f38_240x180.jpg,"1999 г., 15 л., механика,дизель,руль слева, 1 000 000 км"
Renault Premium,$ 68 000,https://im.mashina.kg/tachka/images//6/0/c/60c80950acea35ebcd8a20f414998afc_240x180.jpg,"2015 г., 11 л., автомат,дизель,руль слева"
DAF 95 series,$ 10 000,https://im.mashina.kg/tachka/images//9/3/6/9363e82ec8a1f35fc1f6f495becda225_240x180.jpg,"1997 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 14 000,https://im.mashina.kg/tachka/images//7/9/7/797453ee675b7b72185b8e7c4f7beb9b_240x180.jpg,"1998 г., 13 л., механика,дизель,руль слева"
Volvo FH,$ 21 500,https://im.mashina.kg/tachka/images//a/4/0/a40af2621c4a18cd94ba92f9752fd240_240x180.jpg,"2000 г., 12.6 л., механика,дизель,руль слева, 1 000 000 км"
Mercedes-Benz 4x2,$ 33 000,https://im.mashina.kg/tachka/images//6/a/1/6a1db9aa15a0e305e3e6c9a74a5074ce_240x180.jpg,"2015 г., 12 л., автомат,дизель,руль слева, 900 000 км"
Volvo FE,$ 50 000,https://im.mashina.kg/tachka/images//f/d/b/fdb296e14408bda3fc47d78e3e7831e4_240x180.jpg,"2010 г., 6 л., автомат,дизель,руль слева"
DAF XF106 series,$ 58 000,https://im.mashina.kg/tachka/images//f/2/5/f25b4f92d7fab9e4dd67402d12bb395b_240x180.jpg,"2018 г., 12 л., автомат,дизель,руль слева, 653 000 км"
Renault Magnum,$ 35 000,https://im.mashina.kg/tachka/images//d/1/3/d1323a17358a8ae7797f6c2df5c9de74_240x180.jpg,"2009 г., 5 л., автомат,дизель,руль слева"
Volvo FH,$ 19 000,https://im.mashina.kg/tachka/images//e/5/7/e57e4b502e874aba0e033acf4c8b1674_240x180.jpg,"1999 г., 4 л., механика,дизель,руль слева, 100 000 км"
Volvo FH,$ 31 000,https://im.mashina.kg/tachka/images//2/9/6/296a046d57de635000b240c6031c7949_240x180.jpg,"2003 г., 12 л., механика,дизель,руль слева"
Scania R,$ 17 000,https://im.mashina.kg/tachka/images//9/f/a/9fa1513c45de6ccdc51cd0b189086770_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева"
MAN 26,$ 11 000,https://im.mashina.kg/tachka/images//1/f/a/1fa7d009a9281add56fcbb05d9ca30b6_240x180.jpg,"1999 г., 12 л., механика,дизель,руль слева, 147 000 км"
Volvo FH,$ 27 800,https://im.mashina.kg/tachka/images//1/3/6/136763ac4a7066dc14031dcb1649f0c2_240x180.jpg,"2007 г., 12 л., автомат,дизель,руль слева, 150 000 км"
Volvo FH,$ 47 000,https://im.mashina.kg/tachka/images//1/3/e/13e08928820de0d15eb1200e49e74b3b_240x180.jpg,"2014 г., 12 л., автомат,дизель,руль слева, 625 000 км"
Volvo FH,$ 38 500,https://im.mashina.kg/tachka/images//a/3/f/a3fead72d6ef1f3b3496d3e99ccaf094_240x180.jpg,"2007 г., 13 л., автомат,дизель,руль слева"
DAF XF95 series,$ 35 000,https://im.mashina.kg/tachka/images//5/b/a/5bae098e76183f14ea1f8b7ad90d19a1_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева, 830 000 км"
FAW CA4250,$ 14 500,https://im.mashina.kg/tachka/images//c/8/3/c8359bbb40e683d3a814ff98eca6dc91_240x180.jpg,"2016 г., 11 л., механика,дизель,руль слева"
Renault Premium,$ 37 000,https://im.mashina.kg/tachka/images//7/f/0/7f0c38755faa235d90dcd4d7b4fd7200_240x180.jpg,"2012 г., 11 л., автомат,дизель,руль слева"
DAF XF105 series,$ 29 000,https://im.mashina.kg/tachka/images//2/d/6/2d65f17e2005e1dee5701850c241c43c_240x180.jpg,"2012 г., 13 л., механика,дизель,руль слева"
Volvo FH,$ 35 000,https://im.mashina.kg/tachka/images//7/8/f/78f9d2fc15e3b5c4b4d4b2882ea96c74_240x180.jpg,"2010 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 11 000,https://im.mashina.kg/tachka/images//e/3/4/e3471b7a66ba7d4378889287c41bf0e5_240x180.jpg,"2001 г., 12 л., механика,дизель,руль слева, 900 000 км"
Volvo FH,$ 20 000,https://im.mashina.kg/tachka/images//8/d/1/8d1f35f3c9eda6f93dc5ecf841fbeb2e_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева, 800 000 км"
Volvo FH,$ 80 000,https://im.mashina.kg/tachka/images//1/5/9/159fcfeae77202e71c5851e2a866c78a_240x180.jpg,"2013 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 15 000,,"1996 г., 12 л., механика,дизель,руль слева"
Scania 4-Series,$ 20 000,https://im.mashina.kg/tachka/images//0/c/4/0c4cf1ba3a5bcd1ce7abd7d090a82c03_240x180.jpg,"1998 г., 14 л., механика,дизель,руль слева, 700 000 км"
Scania 4-Series,$ 18 000,https://im.mashina.kg/tachka/images//8/c/4/8c42800847955efaa4e1d7db11643e58_240x180.jpg,"1997 г., 10 л., механика,дизель,руль слева"
Volvo FH,$ 50 000,https://im.mashina.kg/tachka/images//e/0/2/e021f13057ba9f366d7b6f196fc3c4db_240x180.jpg,"2012 г., 12 л., автомат,дизель,руль слева"
Volvo FH,$ 18 000,https://im.mashina.kg/tachka/images//8/f/a/8fa5bd59c640e22ba8eaaa7175458b34_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 15 000,https://im.mashina.kg/tachka/images//4/d/c/4dcf8bbb4cd99d0acbbc3c50161cb732_240x180.jpg,"1995 г., 10 л., механика,дизель,руль слева"
Volvo FH,$ 52 000,https://im.mashina.kg/tachka/images//0/8/8/08898ff61c1a85744019cb6b6f8c4326_240x180.jpg,"2012 г., 13 л., автомат,дизель,руль слева"
DAF XF106 series,$ 53 000,https://im.mashina.kg/tachka/images//e/b/0/eb0dea1fa8865f8f9b5116859ba52187_240x180.jpg,"2015 г., 12 л., автомат,дизель,руль слева"
Volvo FM,$ 28 000,https://im.mashina.kg/tachka/images//0/3/f/03f7eaa64b52fac280359f51df84aa46_240x180.jpg,"2005 г., 12 л., автомат,дизель,руль слева"
DAF XF105 series,$ 39 999,https://im.mashina.kg/tachka/images//3/3/3/3337a8f0c1f918c0b499d485811e5669_240x180.jpg,"2011 г., 12 л., механика,дизель,руль слева"
